ObsNames_1,ObsNames_2,Pred,Ortho
Colon,HT29,-0.267447364802612,0.534492705857443
Colon,HCC-2998,-0.262204443927473,-0.109605655305016
Colon,HCT-116,-0.226245629610914,0.0828838874366031
Colon,SW-620,-0.267247449065274,0.160483801074057
Colon,COLO 205,-0.272437510693462,-0.215599780564897
Colon,HCT-15,-0.269718090457771,0.167765613462254
Colon,KM12,-0.260270381320714,-0.620420571960447
Ovarian,NCI/ADR-RES,0.243406760286902,-0.161694835665822
Ovarian,OVCAR-3,0.26386048576232,-0.0179886058562042
Ovarian,OVCAR-4,0.2530538641912,-0.0847101541378228
Ovarian,OVCAR-5,0.241207220439382,-0.0291694500450786
Ovarian,OVCAR-8,0.30985247454193,-0.0662744861194011
Ovarian,IGROV1,0.253878439747677,-0.0508406292791241
Ovarian,SK-OV-3,0.260311624908808,0.41067816110346
