Proteo,Loadings_p,Loadings_o,VIP
MT1126,-8838.55937473373,162.821016719371,2.13907632693786
MT1127,1072.45583338495,-41.4788108974671,0.340066604492482
MT1128,-232.657268097895,-18.1358103752954,0.0649943877258193
MT1129,-133.959462301953,-16.5214670949705,0.0355535518269837
MT113,1.20772124164647,-0.186670853662161,0.000195513222972939
MT1130,-386.114294493973,-11.1212141575155,0.0611271592814807
MT1131,105.548339864586,11.8082365863244,0.0281933428522747
MT1132,81.6122007887427,5.74410013834976,0.0232033706660314
MT1133,120.457395690295,-38.5690447308789,0.0132234262935448
MT1134,227.635096500663,-72.8289461330872,0.0533927023928034
MT1135,-181.128445945512,-124.591173727986,0.0340565601711107
MT1136,-33.5782609835277,9.02951655827573,0.00424147635830679
MT1137,28.2371621106079,1.042530436182,0.00324348192105813
MT1138,-137.801653837551,-33.4591692016789,0.0083582034119576
MT1139,-50.0184373485189,-15.5532905569264,0.0202093873542855
MT1140,-403.898966925796,65.9728480735528,0.0815860452450783
MT1141,-183.900302033344,38.8529749523137,0.0318110726873012
MT1142,505.816074486591,-122.775697149666,0.0940609757106865
MT1144,316.500290046829,-63.2316373925221,0.112648622104443
MT1145,119.740062611225,96.6011108724445,0.00785920619333328
MT1146,-11595.5698593551,746.670685168505,2.59977550903277
MT1147,82.5521555504579,21.450930309819,0.0219558776194706
MT1148,-899.039584042523,149.814871003318,0.125373051179363
MT1149,87.4375219624154,50.5815893267661,0.0286923400708991
MT1150,402.564455967432,-109.295124068486,0.0651191370304753
MT1152,85.1979349248895,29.3677461414348,0.010603690895767
MT1156,0.745306431657478,0.0696923875347537,0.000205836352682536
MT1158,-2.14296684890157,-0.0426573051148429,0.00056885682923174
MT1159,-7.59326179489285,-0.876926468219351,0.00165667076583278
MT1160,-1.96280260360342,-0.12383475742854,0.000487769781205286
MT1161,-2.73813804840733,-0.278018229541855,0.000742258362703694
MT1162,0.724833607818513,0.0436159701525174,0.000248251116265604
MT1163,0.917330409148559,-0.327610855841622,5.36422010021149e-05
MT1164,-0.963074254126532,-0.581765674808249,0.000200846380496295
MT1165,-0.404821358327315,0.0364256043555491,1.87123956984116e-05
MT1166,0.806973613345831,0.584416639797392,1.87123956984134e-05
MT1167,-2.10995180888729,-0.0267044908253635,0.000380485379201054
MT1168,0.0843215365211746,-0.17195368890052,2.86923400709e-05
MT1169,-2.06793896756875,0.459408386165055,0.000475294850739677
MT1170,-1.40325067252015,0.40042038900032,0.000315615740779891
MT1171,4.51672724999778,-0.400823616050041,0.00101795432599364
MT1172,-6.05239490271156,0.19135980691014,0.00153441644726982
MT1173,1.72351128399118,0.19424469154576,0.0005414119822074
MT1174,2.46607953170909,0.295598034815979,0.000925639840548135
MT1175,2.4359512596558,-0.865364966680347,0.000593806690162954
MT1177,0.920526609392085,0.000168908284610247,9.23144854455006e-05
MT1179,1.92833245588532,-1.91207943165118,9.35619784920619e-05
MT1180,0.0136116131196942,-0.00830321954246577,8.73245132592544e-06
MT1181,1.29361774817579,0.562655432623631,0.000228291227520631
MT1182,-2.80351660572284,0.759067143930545,0.000501492204717454
MT1233,-107.985086688771,8.36531123731081,0.0120066614957069
MT1291,-8.57238675516234,-2.15272637988025,0.0027295147858751
MT1303,1.13463068147894,0.335512166966334,0.00022579624142751
MT1305,29645.9104922928,9947.39005797833,8.24879827177417
MT1307,-74248.308412824,105860.548816202,3.68609245397797
MT1308,13325.0580301239,-2361.79973521568,2.41876426797679
MT1351,1.52357734454261,-0.120192956463548,0.000103541922864548
