Micro,Loadings_p,Loadings_o,VIP
GC26855,-121.851575745773,-28.2239137515635,0.213119056468623
GC26856,132.585031777677,-31.9262881875121,0.153849104788215
GC26857,75.1435270079714,1.89187255025149,0.0160521101627648
GC26858,-25.3244049772717,79.679967611823,0.0185679894372135
GC26859,2.45392412455167,4.84289465757273,0.0251060047481492
GC26860,13.5566092569915,86.8824180889444,0.0691797893109469
GC26861,16.5484154190004,1.49651528398868,0.0214735865930633
GC26862,4.07752663541396,2.25505747503826,0.00142403129691162
GC26863,4.56529717348116,-4.07809074845162,0.00345724527441899
GC26864,2.10717086304298,10.7418941205773,0.0253278644980716
GC26865,4.22405216187603,0.665290128349236,0.00451963198281136
GC26866,16.5132992402521,-5.72046478777748,0.0263221938289861
GC26867,-534.506006105317,16.5097214406274,0.616814319523224
GC26868,62.3326804472712,23.3231347799492,0.0700894156600925
GC26869,-216.924537054505,7.20370595864,0.314673814281786
GC26870,-91.730044018788,-32.3283371145686,0.107601954538212
GC26871,-27.6175640218595,-12.3287268435306,0.0474752984157081
GC26872,-11.7762799710224,6.06453435616061,0.0316999101353406
GC26873,-1.16583658874961,3.52505662028376,0.0178433632916794
GC26874,-65.7700929002662,10.1392752542431,0.0706258583594499
GC26875,-157.385879625556,54.7781344802136,0.214056586039822
GC26876,8.26788893997277,-0.67242308207429,0.00520724440057903
GC26877,-119.494555407837,27.2377191569139,0.115329757201603
GC26878,-80.2029303223192,-1.79718734642211,0.0534718270980795
GC26879,-97.9136757420035,-4.40597877059056,0.0604631812360522
GC26880,-267.738603975014,40.1843943930659,0.266316660562441
GC26881,-8.82089195231968,13.481461847914,0.0284181611727496
GC26882,-11.8410531138079,4.5647712443626,0.00957549950260543
GC26883,-157.949282342507,3.41532339805033,0.105458080599805
GC26884,305.816086549744,-180.279389660485,0.0474592655909431
GC26885,131.969828260377,-83.1646151344927,0.0257040925590964
GC26886,267.167824162147,-54.7905657845664,0.274134816157373
GC26887,-16.7910022068441,-538.965504704444,0.113152583782092
GC26888,17.9890928193908,6.58111003438133,0.0145147164369477
GC26889,35.776234486408,-13.2891552341078,0.0230959339764958
GC26890,-223.466711666677,92.2812797380907,0.562869134029753
GC26891,559.871258071242,229.067329171481,0.851887037871143
GC26892,799.52847846968,294.243815127282,0.936203854561707
GC26893,-382.98807660943,-51.8774750957122,0.365162540329299
GC26894,431.696601909948,139.734863798474,0.45082138057834
GC26895,-61.9189506813173,-18.4968640689563,0.0757156963968224
GC26896,261.274500201013,138.20213813005,0.510360684830067
GC26897,39.2896861731634,-7.81707959332189,0.0447838339089943
GC26898,140.385477618677,23.871449127499,0.159574982094681
GC26899,-31.5735553067463,9.47208248168205,0.0073472940922724
GC26900,90.7837678324391,5.87465376750378,0.1026655132929
GC26901,17.6056148068216,0.00333949325971439,0.0147640259275634
GC26902,-107.830004898993,39.0654339674547,0.172624312852548
GC26903,68.7222456331369,-33.8493107636329,0.10884142797254
GC26904,73.5282567710105,-9.57613440543462,0.0986410855774181
GC26905,-33.864462561618,32.39694057561,0.0908971643859185
GC26906,-34.4265609433359,-13.3034569531537,0.0869701116508995
GC26907,-239.853342813699,-28.3871093640802,0.310586745755391
GC26908,-8.51553428778076,11.7311968572028,0.0282763141533455
GC26909,102.833190325384,-20.1518002021447,0.0961493847875751
GC26910,77.4017051467046,-15.8026694574235,0.0843794575259875
GC26911,171.950037158512,125.319146129813,0.403658668474157
GC26912,-3.96041369599071,-7.65282012596548,0.0117422267286184
GC26913,-280.670217587163,-231.949035417743,0.0968140813039218
GC26914,32.2807989623904,10.0607973975245,0.0107548689106962
GC26915,86.2351564532123,72.2044150151925,0.124881612220191
GC26916,-28.7415498979099,-10.6716258666323,0.0706409548571014
GC26917,85.3144535029206,-19.5796661066055,0.0711674296802725
GC26918,18.30904092432,23.0140337298158,0.0848223329588037
GC26919,17.6087966432082,17.2206956813366,0.000696075258417612
GC26920,56.4955664794085,22.1111743341959,0.0221019540340829
GC26921,92.0768827928101,18.6902733553988,0.106445081210159
GC26922,12.6143228865615,-17.3336464858021,0.0225595995981762
GC26923,-129.153026253812,-23.537404700805,0.282405833591761
GC26924,72.7360120422042,-23.613791977854,0.0773462753211453
GC26925,-205.888012434775,138.138221654719,0.0435702929977681
GC26926,-122.06097843405,176.057746198817,0.122016028004724
GC26927,-98.3637019969314,57.1030225005772,0.0139115248895109
GC26928,-10.5809314038069,24.9175358056802,0.0114388943070874
GC26929,260.94867323085,105.698198264497,0.225277600177182
GC26930,2.87250558250973,6.44538797622268,0.00347042622327611
GC26931,-558.823937774171,7.01818387544472,0.631338457200254
GC26932,485.515264377746,-29.5713290632864,0.510526370333357
GC26933,290.761640589791,40.1378468766903,0.402009212876571
GC26934,46.930729891,54.5286851188316,0.129661442767391
GC26935,-6.93621512676512,3.50185011406083,0.00523603231694306
GC26936,57.7589952999349,2.80560558575836,0.0619847421483398
GC26937,6.18894601731166,-1.10017180112187,0.01016157390578
GC26938,8.29024774268551,3.84988913660219,0.00805118608886478
GC26939,351.038386615979,-338.585076320354,0.390810059961277
GC26940,11.5547709390835,11.9250890863832,0.0533435722822547
GC26941,-83.9464693206843,24.9499137936763,0.0298920801131035
GC26942,7962.46989940864,-523.241705379232,8.93227562031282
GC26943,68.6964784952626,0.803744445360863,0.0818411445156905
GC26944,22.7356982158752,-3.02957382565399,0.0064214029016489
GC26945,43.3942454023056,-17.443272992483,0.0232411410743796
GC26946,849.287101340396,-226.375344372977,0.902233024833204
GC26947,-33.2758322987115,-48.5670576074707,0.0796922432115059
GC26948,41.1463580623523,20.5717197956586,0.0169086859824396
GC26949,51.2685561042048,17.4201320246731,0.14772376071931
GC26950,-134.514571923141,11.2762087892119,0.108887300525212
GC26951,312.371213957173,1237.50758874817,0.17629501723949
GC26952,-16.9791157401654,-25.9840863148749,0.0103565949787514
GC26953,51.5572180506331,109.389785939343,0.134920151076439
GC26954,65.3059764860323,-5.21150481300827,0.0659805408840832
GC26955,22.5980797188942,-5.93983140492416,0.0207501883964194
GC26956,32.82667391764,6.6142207724647,0.0345709653260663
GC26957,202.022390785598,-181.56700872089,0.242529139710817
GC26958,196.008476669699,74.8179909986964,0.191953678765909
GC26959,5.39326963604561,-1.55445051643107,0.0122300885981473
GC26960,-352.090826410444,-68.72129216935,0.458745658556943
GC26961,-93.6372628555929,56.3441844209138,0.176250361299285
GC26962,232.460276819095,-79.3887343098231,0.189023688113374
GC26963,82.5922060683089,-2.89652425307253,0.0896279119501352
GC26964,12.8321540497245,-2.41367308136231,0.0214048084949473
GC26965,17.187512460226,-9.24139509649917,0.0381567481711659
GC26966,-84.2880463538039,-149.409739697846,0.0211846985798528
GC26967,-202.845608613754,-132.677602776584,0.271936735497089
