2530,5,89,25,4.882046,2,29,24,47,145,68,24,20,33,28,107,74,13,148,117,2784,13,63,1,1,133,1.46,3.4,0.3,1.95,1.4,1.38,1.67,1.83,1.38,2.07,1.52,1.48,2.03,1.87,0.7,3.44,1.11,0,0,1.3,1.36,0.7,2.12,1.8,12.69951,7.8,0.14,5838,76116,50,1.76,0.389,0.45,0.037,0.876,-0.347,-2.6,19,1.065,0.087,0.3,0.86,5,0,0,0.15,0.15,6.2,1.45,126,0.56,1.43,8.16,0.33,315,49,124,710,29,87,2.1707,5.6419,2.5115,-0.078639,1.1204,2.0839,-2.25,2.2212,0.69256,-0.40009,1.1831,-0.24509,-2.25
2243,56,119,90,2.69897,7,74,30,73,223,156,50,115,79,57,203,46,38,259,138,103,12,27,2,4,61,1.87,3.35,0.85,2.08,1.95,1.48,1.86,2.19,1.7,2.14,1.9,1.76,2.31,1.66,1.75,2.01,1.08,0.3,0.6,2.06,1,0.74,1.79,1.43,14.21968,1.23,0.19,2668,27474,50,0.74,0.118,0.235,0.017,0.37,-0.629,0.8,0,0.84,0.311,0.42,1.02,3,0.15,0,0.3,0,5.5,3.06,193,1.59,3.63,7.54,0.33,30,100,229,475,21,63,-1.44,5.0509,3.2188,0.94523,1.7261,0.245,-1.44,1.6053,1.4315,0.27081,-1.44,-1.44,-1.44
3689,503,90,53,4.739317,107,132,36,100,177,27,76,55,108,268,15,32,1,218,200,3918,6,126,1,1,30,2.12,3.57,2.03,1.95,1.72,1.56,2,1.43,1.88,2.3,2.03,2.43,1.3,1.51,2.7,3.59,0.78,0,0,1.74,-0.7,0.73,1.48,2.1,6.51644,4.5,0.09,6354,80137,50,0.17,0.732,0.437,0.037,1.206,-0.36,0.7,0,0.68,0.217,0.25,1.33,1,0,0,0.15,0,3.5,1.06,68,0.31,0.39,0.82,0.11,25,20,25,52.5,7,64,-0.016016,3.6852,2.6494,0.47636,0.48343,-2.38,-2.38,-0.44808,0.10264,-2.38,0.91618,-0.80086,0.0034294
4268,4,159,64,4.931884,39,46,12,83,90,56,126,56,63,58,65,27,0,79,176,2433,1,138,1,10,68,1.66,3.63,1.59,2.2,1.81,1.08,1.92,1.75,2.1,2.25,1.8,1.76,1.81,1.43,0.6,3.39,0,0,1,1.75,1.49,0.64,1.83,2.14,13.29592,1.58,0.11,9851,79685,50,1.23,0.405,0.347,0.04,0.791,-0.46,-1.1,0,1.09,0.221,0.45,1.47,3,0,0,0.15,0,4.6,0.7,80,0.41,0.42,0.61,0.25,250,47,48,70,28,114,4.5434,5.9848,4.8474,0.77017,3.2815,-1.84,-1.84,1.8883,2.5176,-1.84,2.4514,-1.84,-0.081144
4930,0,59,22,4.78915,255,29,26,11,138,65,49,0,39,23,197,178,2,455,4,5475,7,814,73,12,102,1.46,3.69,2.41,1.77,1.34,1.41,1.04,1.81,1.69,1.3,1.59,1.48,2.29,2.25,0,3.74,0.85,1.86,1.08,0.6,0.3,0.79,2.01,2.91,43.5548,1.99,0.16,3528,93070,992,1.45,0.211,0.735,0.046,0.992,-0.134,8.5,0,0.35,0.144,0.57,0.62,1,0.15,0,0.15,0,3.2,0.43,45,0.47,1.06,0.67,0.3,35,49,110,70,31,104,-0.46376,-3.69,2.8982,-0.19366,1.2959,-3.69,-3.69,1.1488,0.88748,-0.58285,2.0854,0.52136,-0.87626
2414,13,108,64,4.870555,0,66,43,51,96,110,53,76,93,107,115,14,2,261,105,3511,11,72,2,4,10,1.82,3.38,-0.7,2.03,1.81,1.63,1.71,2.04,1.72,2.02,1.97,2.03,2.06,1.15,1.11,3.55,1.04,0.3,0.6,1.88,-0.7,0.75,1,1.86,132.9952,1.9,0.19,4730,92844,50,0.97,0.585,0.41,0.061,1.056,-0.387,-1.1,0,0.88,0.248,0.28,1.24,2,0.15,0.6,0.15,1.3,8,1.17,124,1.36,1.01,5.57,0.4,175,144,107,590,42,106,0.3796,4.6595,1.2352,-0.25092,-0.18595,-2.7,-2.7,0.50686,-1.1713,-1.0775,0.65298,-1.2454,-0.74768
2827,7,114,51,4.759604,80,41,33,60,115,202,78,17,126,46,23,11,3,103,7,2805,10,50,3,12,5,1.61,3.45,1.9,2.06,1.71,1.52,1.78,2.31,1.89,1.3,2.1,1.66,1.36,1.04,0.85,3.45,1,0.48,1.08,1.23,1.48,0.67,0.7,1.7,45.55215,7.65,0.13,3367,1986,1904,0.98,0.244,0.328,0.016,0.587,-0.484,9,59,2.54,0.739,0,0.75,0,0,0,0,0,1.3,2.16,166,0.81,0.99,0.75,0.27,50,62,76,58,21,77,1.9581,-2.85,3.5596,0.71491,2.1024,-2.85,-2.85,1.621,1.5362,-2.85,0.73659,-1.1005,-0.1278
1607,283,45,47,4.859211,0,120,24,165,248,66,22,103,0,123,1,41,415,154,98,31,15,8,10,442,105,2.08,3.21,-0.7,1.65,1.67,1.38,2.22,1.82,1.34,1.99,1,2.09,1.3,1.61,2.45,1.49,1.18,1,2.65,2.01,1.98,0.7,2.02,0.9,22.21722,0.76,0.14,7012,9094,600,1.49,0.291,0.235,0.303,0.829,-0.629,-2,0,0.64,0.173,0.36,1.34,1,0,0,0.15,0.3,2.7,2.42,109,0.42,0.62,1.67,0.38,130,19,28,75,17,45,1.0534,6.3051,1.919,0.94936,-0.035232,-2.03,0.87545,-0.66796,0.36611,-2.03,0.85576,-2.03,-0.20206
958,1703,26,4,4.666705,0,102,49,33,304,52,66,16,345,87,25,6,119,584,15,57,33,89,22,26,78,2.01,2.98,-0.7,1.41,0.6,1.69,1.52,1.72,1.82,1.3,2.54,1.94,1.4,1,3.23,1.76,1.52,1.34,1.41,1.2,0.6,0.8,1.89,1.95,35.58834,0.3,0.18,6337,74422,802,0.31,0.293,2.755,0.026,3.074,0.44,2.7,0,0.37,0.075,0.445,1.25,2,0.15,0,0.2,0.4,2.9,0.63,81,0.96,1.01,3.26,0.75,70,124,130,420,97,129,2.5535,5.4515,3.6444,0.78869,1.322,-1.7,-1.7,1.3684,1.7799,0.38247,-1.7,-1.7,0.087828
1218,560,43,18,4.868056,0,88,67,125,182,72,99,109,77,16,4,59,46,33,142,21,17,41,68,46,42,1.94,3.09,-0.7,1.63,1.26,1.83,2.1,1.86,2,2.15,1.89,1.48,1.3,1.77,2.75,1.48,1.23,1.83,1.66,2.04,1.43,0.54,1.62,1.61,18.58426,0.24,0.23,9059,98989,288,1.79,0.761,0.778,0.05,1.589,-0.109,-2.5,0,0.21,0.093,0.49,0.53,0,0.4,0,0.3,0,7.2,1.11,73,0.64,1.88,3.64,0.19,245,42.5,124,240,12.5,66,1.8366,5.4479,2.7642,-0.22,1.104,-0.22,-0.22,2.1715,1.4594,-0.22,-0.22,-0.22,-0.22
