Metabo,Loadings_p,Loadings_o,VIP
MT15708,-3.7904893970217,-0.0906993946312754,0.4939300920432
MT15709,0.477951498442441,0.391637521782826,0.0519988191005557
MT15710,0.597346765073993,-0.102030862736768,0.077587402766291
MT15711,0.956294927069083,0.164497821613218,0.250369031922087
MT15712,-0.244253931876577,-0.0144694856349315,0.039908800212616
MT15713,0.346870148890938,0.35572202282953,0.249664758977159
MT15714,-7.06292115505742,-0.157935689520117,0.824234103214674
MT15715,-4.32739705699735,-1.13599960040487,0.546633184088684
MT15716,9.46581997341627,4.33964551620838,1.72124307740529
MT15717,-4.6404573004952,-1.08396693137823,0.635488953973832
MT15718,-4.91269450905458,-0.504401064826386,0.764957797016524
MT15719,0.00221312803574147,0.014327465393992,0.00856865416329684
MT15720,-22.7947402502308,-3.6182907731151,3.04645000211245
MT15721,-6.26509316628644,-1.44688639648517,0.938561077941403
MT15722,-1.22584415082822,0.0302828399345522,0.18991893748239
MT15723,2.67786960274771,2.2285806410137,0.0638540803401861
MT15724,2.1312299594813,0.190950134798908,0.259172443733694
MT15725,-5.381037725467,-1.0905307092172,0.819773707896793
MT15726,-2.84728309330653,-0.194519626022326,0.541468515825874
MT15727,-4.39726268362132,-1.31536606492246,0.700516822555565
MT15728,-0.746810853521385,-0.171912116434288,0.0893252851817672
MT15729,4.85676551689471,2.36203280423847,0.301898335726024
MT15731,0.736826439021516,-0.154131446893502,0.229358222398386
MT15732,-0.410341762639418,0.0559964149048484,0.0374438449053665
MT15733,0.845932968373237,0.451356643939512,0.252716608405182
MT15734,-2.58966409464007,0.0401675107451015,0.383359239689423
MT15735,-0.117864243896419,0.685023952318805,0.0474210449585199
MT15736,-6.16310308021879,-0.896670611485617,0.8853884705993
MT15737,-13.5642968700055,-6.05378039497035,2.2634158661761
MT15738,-10.9952906791288,0.162542259909561,1.61360669565539
MT15739,1.48608416600447,-0.261517310122545,0.23241007182641
MT15740,-2.93974843212123,0.18910322559561,0.457660035379381
MT15741,-0.380961909181036,0.108231395811819,0.0440170590580324
MT15742,0.634896789724951,0.03015700522186,0.117026687682288
MT15743,-10.0769237487229,-0.72606943860783,1.63180041339937
MT15744,0.221670811210489,0.121482138741708,0.243443681296957
MT15745,-10.5022948519375,0.989563084950967,1.76655130352903
MT15746,-11.9422630696191,-1.97835723765794,2.04485649559995
MT15747,0.519246982490718,0.130855955332886,0.228301812980994
MT15748,-6.86284265969298,-7.32233651319273,0.820595359665877
MT15749,-5.16682652268729,-1.66225303300094,0.890553138862109
MT15750,-27.6761313490442,-12.969757937612,4.17293457752562
MT15751,-0.337977798816334,-0.172310484622751,0.18545854216451
MT15752,-0.445517875310249,0.514290016797235,0.180059116253391
MT15753,1.24280765699751,1.26156357368227,0.358474928968614
MT15754,1.89346583186677,0.135724596604583,0.266684688479598
MT15755,-0.69532948813199,0.0481286851733485,0.0872124663469814
MT15756,-6.57346820523716,-1.15056272049139,0.891022654158728
MT15757,-1.24633559987013,-0.420585265770939,0.222902387069876
MT15758,0.0547163148132995,0.145640912870064,0.0539942591111864
MT15759,-1.89316757178231,-0.371172743652468,0.270440810852551
MT15760,-0.219714789758575,0.923654938170898,0.364226491352197
MT15761,32.8528623239454,13.2290054916107,4.25498237560978
MT15762,-5.97566353343204,-2.11203243815771,0.823999345566365
MT15763,-1.33105475573858,0.193233375980976,0.0672580662406737
MT15764,-19.2701390697201,-3.32717399761772,3.09046706117049
MT15765,6.12805202977554,3.08594741134421,1.2138144205843
MT15766,1.50657906951983,1.03030238672983,0.415638416331979
MT15767,-0.160444056012103,-0.350512361070135,0.0859212992812785
MT15768,-6.24851696005439,0.506614191028986,0.753219914601049
MT15769,1.46466005053878,-0.272279614235397,0.303306881615881
MT15770,1.42646365888935,-0.718470793584867,0.207173624633138
MT15771,2.52697606096543,-0.0728100818726365,0.556493005317682
MT15772,3.16259012324195,0.846115765541176,0.394158091511659
MT15773,-1.96491464158599,0.323113419020513,0.153414123170262
MT15774,0.381665402405195,0.0427345958401366,0.0509424096831626
MT15775,-7.50615502368462,-0.0443812663890576,1.04361512555991
MT15776,-2.1652028012014,-1.83923896056705,0.236870467144292
MT15777,0.967455535949932,0.52550066076419,0.0839258592706476
MT15778,-2.28486312247041,0.07287593512771,0.213512081137496
MT15779,1.54029576081478,0.0900333328539495,0.465172280125284
MT15780,-0.202928336738491,-0.0449064687809775,0.0423737555198663
MT15781,1.96205530691107,0.0769818542666124,0.224310932959732
MT15782,0.778712172425403,0.439018014315108,0.304480669857428
MT15783,-3.83822980494946,-1.37347546013074,0.540646864056792
MT15784,2.22781619403907,0.329721674889906,0.352958124233341
MT15785,10.1804713563976,4.96400614889464,1.80434728490686
MT15786,3.28521990819386,0.706589480376624,0.25588583665736
MT15787,-2.98431127741157,-0.514929296413428,0.582785861928348
MT15788,1.02889772609431,-0.222201035128598,0.135689920722894
MT15789,-0.54654365485428,-0.117364311477032,0.312814566372416
MT15790,-4.17755767867136,-1.87408034232963,0.520927221598793
MT15791,-0.234013646146597,0.453129772246126,0.12864719127361
MT15792,-0.553290169386406,0.310333566941362,0.0274666448522125
MT15793,3.10491253657257,-0.165932246743638,0.575273617182442
MT15794,-0.461020800797572,0.276469864943624,0.0213629459961647
MT15795,-1.77613662561662,0.277785035212387,0.0429606496406389
MT15796,-3.91255384386031,1.14533296158624,0.44627428943637
MT15797,-1.41347868747989,0.112877751815302,0.17336852327657
MT15798,-6.19813620402956,-0.701084369151612,0.829516150301638
MT15799,1.01893223468257,0.317416468152839,0.190036316306544
MT15800,-2.61963763784301,-0.778901650395552,0.401670336257564
MT15801,-0.401324014896951,0.293892593966004,0.0301663578077711
MT15802,-10.4897214369566,-0.729045942155979,1.44059030885128
MT15803,-0.0031235438698984,0.453563823507841,0.118083097099682
MT15804,1.62650206682923,-0.103274312104448,0.267388961424526
MT15805,8.13168669947233,1.3317473182457,1.58531839903409
MT15806,0.648036928960567,0.0930089317219777,0.214098975258269
MT15807,-0.278358040002088,0.171737564055948,0.105523562915122
MT15808,1.10186362747124,-0.100688693671827,0.213159944665031
MT15809,-1.5521611421822,0.490395902877047,0.169612400903618
MT15810,-0.0597922989582808,-0.0603323468777038,0.235227163606124
